Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
406,920,H,TOR,HUTCHISON-R,1,0,0,0,0,3,0,0,0,4,-102,-121,-1.5,170,9,-120,8.5,-105
406,921,V,TEX,YDARVISH-R,0,0,0,0,0,0,0,2,1,3,-115,-108,-1.5,165,7,-110,7,-110
406,922,H,TAM,ACOBB-R,0,0,0,0,0,0,0,0,0,0,105,-102,1.5,-185,7,-110,7,-110
406,923,V,LAA,JWEAVER-R,0,0,0,0,1,0,0,0,3,4,-165,-156,-1.5,105,8,-115,8,-120
406,924,H,HOU,SFELDMAN-R,2,1,0,1,1,0,2,0,x,7,145,141,1.5,-125,8,-105,8,100
406,925,V,CWS,CSALE-L,0,0,0,0,0,0,1,0,4,5,115,106,1.5,-210,7,-115,7,100
406,926,H,KAN,JSHIELDS-R,0,0,0,0,0,0,0,0,1,1,-130,-116,-1.5,180,7,-105,7,-120
406,927,V,SEA,ERAMIREZ-R,0,2,1,0,0,0,0,0,0,3,140,132,1.5,-161,7.5,100,7.5,-108
406,928,H,OAK,SGRAY-R,0,0,3,0,2,0,0,1,x,6,-155,-147,-1.5,141,7.5,-120,7.5,-112
406,929,V,MIL,YGALLARDO-R,0,2,0,0,0,0,1,1,0,4,145,141,1.5,-150,8.5,-110,9,100
406,930,H,BOS,JLESTER-L,0,0,0,0,0,0,0,0,0,0,-165,-156,-1.5,130,8.5,-110,9,-120
407,953,V,CIN,TCINGRANI-L,0,0,0,0,1,0,0,0,2,3,135,138,1.5,-175,7,100,6.5,100
407,954,H,STL,MWACHA-R,3,0,0,0,0,0,2,0,x,5,-150,-153,-1.5,155,7,-120,6.5,-120
407,955,V,BAL,UJIMENEZ-R,0,0,0,1,0,0,1,0,0,2,135,127,1.5,-175,8.5,-120,8,-110
407,956,H,NYY,HKURODA-R,0,0,1,1,2,0,0,0,x,4,-150,-142,-1.5,155,8.5,100,8,-110
407,957,V,LAA,CWILSON-L,3,0,0,0,1,1,3,0,1,9,-150,-160,-1.5,-101,8.5,100,8.5,-115
407,958,H,HOU,JCOSART-R,0,0,0,0,0,0,0,1,0,1,135,140,1.5,-119,8.5,-120,8.5,-105
407,959,V,OAK,SKAZMIR-L,0,2,3,0,0,1,2,0,0,8,-135,-144,-1.5,115,8,-110,8,-105
407,960,H,MIN,KCORREIA-R,0,1,2,0,0,0,0,0,0,3,120,129,1.5,-135,8,-110,8,-115
407,961,V,TEX,SCHEPPERS-R,0,0,0,1,0,0,0,0,0,1,140,138,1.5,-145,9,-110,9,-125
407,962,H,BOS,JLACKEY-R,0,1,0,1,0,0,0,3,x,5,-155,-153,-1.5,125,9,-110,9,105
407,963,V,TAM,MMOORE-L,0,0,0,0,0,0,0,0,2,2,-130,-101,1.5,-220,8,100,7.5,-110
407,964,H,KAN,JVARGAS-L,1,0,0,0,0,3,0,0,x,4,115,-109,-1.5,190,8,-120,7.5,-110
407,967,V,CWS,FPAULINO-R,0,0,0,0,0,0,1,0,0,1,120,136,1.5,-155,10,-110,9.5,-110
407,968,H,COL,JLYLES-R,1,1,1,0,3,1,0,1,x,8,-135,-151,-1.5,135,10,-110,9.5,-110
408,901,V,ARI,TCAHILL-R,0,1,0,1,0,0,0,1,0,3,140,140,1.5,-165,7.5,100,7.5,-101
408,902,H,SFO,THUDSON-R,2,0,3,0,2,0,0,0,x,7,-160,-155,-1.5,145,7.5,-120,7.5,-119
408,903,V,MIA,HALVAREZ-R,0,0,0,0,0,0,0,0,0,0,170,175,1.5,-130,7,-115,7,-120
408,904,H,WAS,GGONZALEZ-L,1,0,0,0,0,2,0,2,x,5,-190,-200,-1.5,110,7,-105,7,100
408,905,V,NYM,BCOLON-R,0,0,1,0,0,0,2,1,0,4,125,114,1.5,-190,8,100,7,-115
408,906,H,ATL,AHARANG-R,0,0,0,0,0,0,0,0,0,0,-140,-129,-1.5,160,8,-120,7,-105
408,907,V,PIT,CMORTON-R,4,0,0,1,1,0,0,1,0,7,-135,-118,-1.5,145,7,-105,7,-120
408,908,H,CUB,EJACKSON-R,0,1,3,0,0,1,1,0,0,6,120,108,1.5,-165,7,-115,7,100
408,909,V,CIN,HBAILEY-R,3,1,0,0,1,0,0,0,0,5,125,118,1.5,-200,7.5,-110,7,-110
408,910,H,STL,LLYNN-R,0,4,0,0,0,2,1,0,x,7,-140,-133,-1.5,170,7.5,-110,7,-110
408,911,V,BAL,WCHEN-L,3,1,0,3,0,4,0,3,0,14,135,-105,1.5,-199,8.5,-125,9,-125
408,912,H,NYY,INOVA-R,1,0,0,3,0,0,0,1,0,5,-150,-105,-1.5,169,8.5,105,9,105
408,913,V,TEX,MPEREZ-L,0,0,5,3,1,0,0,0,1,10,125,113,1.5,-180,9,-115,9.5,100
408,914,H,BOS,FDOUBRONT-L,0,0,0,1,0,0,3,0,3,7,-140,-128,-1.5,160,9,-105,9.5,-120
